input_text	target_text
Ella es una muy buena actriz y sus películas son muy buenas	Ella es una muy buena actriz y sus películas son muy buenas
Á mi me gusta las películas “Mr	Á mi me gustan las películas “Mr
and Mrs	and Mrs
Smith”, “Maleficent”, y “Lara Croft” porque me gusta las películas de acción y fantasía	Smith”, “Maleficent”, y “Lara Croft” porque me gustan las películas de acción y fantasía
Mi madre le gusta Angelina Jolie también	A mi madre le gusta Angelina Jolie también
Miré las películas de Angelina Jolie con mi madre en mi cuidad	Miré las películas de Angelina Jolie con mi madre en mi ciudad
Vivo en *CITY* ahora, pero yo miro las películas de Angelina Jolie con mis amigos o con mi novio	Vivo en *CITY* ahora, pero yo miro las películas de Angelina Jolie con mis amigos o con mi novio
Siempre es divertido mirar las películas de Angelina Jolie	Siempre es divertido mirar las películas de Angelina Jolie
Porque ella es una buena actriz, Angelina Jolie gana los premios de los Oscars	Como ella es una buena actriz, Angelina Jolie gana los premios de los Oscars
Ella gana más Oscars que Leonardo DiCaprio, pero Leonardo DiCaprio es un buen actor tambíen y el es mi actor favorito	Ella gana más Oscars que Leonardo DiCaprio, pero Leonardo DiCaprio es un buen actor también y él es mi actor favorito
Si Angelina Jolie y Leonardo DiCaprio estan en la misma película, es una buena película.	Si Angelina Jolie y Leonardo DiCaprio salen en la misma película, es una buena película.
Una persona famosa tiene muchas cosas de lujo y no se preocupa mucho por el dinero	Una persona famosa tiene muchas cosas de lujo y no se preocupa mucho por el dinero
Algunas personas famosas poseen mansiones y asta islas como su vivienda	Algunas personas famosas poseen mansiones y hasta islas como su vivienda
Las personas famosas que son más reconocidas tendrán un salario más grande que actores extra porque tienen muchos fans que apoyan su trabajo	Las personas famosas que son más reconocidas tendrán un salario más alto que los actores extra porque tienen muchos fans que apoyan su trabajo
Mi actora favorita es Amy Poahler que tiene un personaje bien excéntrica, innovadora, y positiva	Mi actriz favorita es Amy Poahler que tiene un carácter bien excéntrico, innovador, y positivo
Yo apoyo a actores que son chistosos o chistosas, y que demuestran su humanidad	Yo apoyo a actores que son chistosos o chistosas, y que demuestran su humanidad
También apoyo a actores famosos que están en mis favoritas películas	También apoyo a actores famosos que están en mis favoritas películas
Otras personas famosas también incluyen personas de negocio como Zuckerberg de Facebook	Otras personas famosas también incluyen personas de negocio como Zuckerberg de Facebook
El tiene una gran influencia en personas jóvenes que usan su red social	Él tiene una gran influencia en las personas jóvenes que usan su red social
Desafortunadamente, su red social esta siendo usado con malas intenciones de mandar noticias falsas y personas tomando videos de sus homicidios	Desafortunadamente, su red social está siendo usada con malas intenciones de mandar noticias falsas y las personas que toman videos de sus homicidios
Lo malo de ser famoso algunas veces es que no pueden ocultarse del publico tan fácilmente	Lo malo de ser famoso algunas veces es que no pueden ocultarse del publico tan fácilmente
Opino que debería ser bien estresante ser vigilado tanto y no tener tanta privacidad	Opino que debería ser bien estresante ser vigilado tanto y no tener tanta privacidad
Es como una jaula de oro donde tienes todo lo conveniente, pero tu status cambia tu forma de vivir	Es como una jaula de oro donde tienes todo lo conveniente, pero tu status cambia tu forma de vivir
Por supuesto, siendo famoso no puede ser comparado con la novela “La jaula de oro.” Solo uso esta forma de decir para expresar como un lugar que se ve como tiene todos los recursos puede ser dañante con el trauma de cruzar la frontera	Por supuesto, ser famoso no puede ser comparado con la novela “La jaula de oro.” Solo uso esta forma de decir para expresar como un lugar que se ve como si tuviera todos los recursos puede ser malo con el trauma de cruzar la frontera
Algunas cosas buenas de ser famoso es poder traer atención a cosas importantes como proteger la naturaleza y ayudar a personas que necesitan ayuda	Algunas cosas buenas de ser famoso es poder traer atención a cosas importantes como proteger la naturaleza y ayudar a personas que necesitan ayuda
Ojala que tengamos mas personas auxiliares como los Gates.	Ojalá que tengamos más personas auxiliares como los Gates.
Una persona famosa que yo aspiro ser es Frida Kahlo	Una persona famosa que yo aspiro ser es Frida Kahlo
Ella es muy famosa por su arte y su uniceja por lo cual me gusta	Ella es muy famosa por su arte y su uniceja por lo cual me gusta
En primer lugar, su arte es excepcional y único aunque eso se puede decir de todos los artistas	En primer lugar, su arte es excepcional y único aunque eso se puede decir de todos los artistas
La cosa que me gusta más de su arte es que son autorretratos de ella misma	La cosa que más me gusta de su arte es que son autorretratos de ella misma
Después de su accidente, ella esta incapacitada y tuvo que quedarse en su cama	Después de su accidente, ella estaba incapacitada y tuvo que quedarse en su cama
Cuando empezó a pintar, fue de su cama y pintaba ella misma usando un espejo	Cuando empezó a pintar, dejó su cama y pintaba ella misma usando un espejo
Algo que Frida dijo sobre la tema y que reside mucho conmigo es, ' Yo soy mi propia musa, el tema que conozco mejor.' Esta cita me gusta porque es muy cierto y es algo que nosotros debemos reconocer	Algo que Frida dijo sobre el tema y que reside mucho conmigo es, ' Yo soy mi propia musa, el tema que conozco mejor.' Esta cita me gusta porque es muy cierto y es algo que nosotros debemos reconocer
Antes de todo, debemos tomar nosotros en consideración	Antes de todo, debemos tomarnos a nosotros en consideración
Yo no veo eso como ser egoísta pero más como tener conciencia de uno mismo	Yo no veo eso como ser egoísta sino más bien como tener conciencia de uno mismo
Cuándo superior su incapacidad y aprendió a caminar fue cuando Frida ya pudo expresarse más en su pinturas	Cuándo superó su incapacidad y aprendió a caminar fue cuando Frida ya pudo expresarse más en sus pinturas
Mientras sus pinturas todavía era de ella misma, ahora tenida una historia y un mensaje más profundo	Mientras sus pinturas todavía eran de ella misma, ahora tenían una historia y un mensaje más profundo
Una pintura de ella ilustrar el momento en cuando tuvo un malparto y demuestra sus emociones que siento	Una pintura de ella ilustra el momento en que tuvo un malparto y demuestra sus emociones que sintió
Aunque fue un momento horrible en su vida, ella usó esos emociones para pintar algo gran	Aunque fue un momento horrible en su vida, ella usó esas emociones para pintar algo grande
Yo aspiro ser como Frida porque ella era una mujer revolucionaria para su tiempo y hasta hoy en día	Yo aspiro ser como Frida porque ella era una mujer revolucionaria para su tiempo y hasta hoy en día
Frida desafío las estereotipicas de género pero asimismo aceptaba la feminidad	Frida desafió los estereotipos de género pero asimismo aceptaba la feminidad
En algunos ocasiones, usaba ropa de hombre como en la foto famosa de su familia pero también se reconoce como la mujer que usaba vestidos brillantes y flores en su cabello	En algunas ocasiones, usaba ropa de hombre como en la foto famosa de su familia pero también se reconoce como la mujer que usaba vestidos brillantes y flores en su cabello
Pero la característica que me más atrae es su uniceja	Pero la característica que más me atrae es su uniceja
Es la característica que la mayoría de la gente la reconocen de ella pero es mucho más que solo ella no se quiera depilarse las cejas	Es la característica que la mayoría de la gente reconoce de ella pero es mucho más que una cuestión de si ella no quiso depilarse las cejas
Su ceja es un símbolo que es contra del estereotipo que mujeres se tener que depilarse para ser bonitas y etcétera	Su ceja es un símbolo que va en contra del estereotipo que las mujeres tienen que depilarse para ser bonitas y etcétera
Simboliza que ella decide lo que ella quiere con su vida y la sociedad no le puede decir nada.	Simboliza que ella decide lo que ella quiere en su vida y la sociedad no le puede decir nada.
Me gusta ir al cine y me gustan los cines de comedias	Me gusta ir al cine y me gustan las películas de comedia
Tengo un actor favorito	Tengo un actor favorito
Mi actor favorite esta Will Ferrell	Mi actor favorito es Will Ferrell
El es muy divertido y comico	Él es muy divertido y cómico
Su cines es comicos muchos tambien	Sus películas son muy cómicas también
Mi favoritos de su cines estan “Step Brothers”, “Taladega Nights” y “The Other Guys”	Mis películas favoritas son “Step Brothers”, “Taladega Nights” y “The Other Guys”
El tiene cuarenta y nueve anos	Él tiene cuarenta y nueve años
Tiene el pelo marron, tiene pelo rizado y su ojos son verdes	Tiene el pelo marrón, tiene pelo rizado y sus ojos son verdes
El es muy alto y su esposa se llama Viveca Paulin	Él es muy alto y su esposa se llama Viveca Paulin
Ellos tienen tres ninos se llaman Mattias Paulin Ferrell, Magnus Paulin Ferrell y Axel Paulin Ferrell	Ellos tienen tres niños que se llaman Mattias Paulin Ferrell, Magnus Paulin Ferrell y Axel Paulin Ferrell
El padre de Will Ferrell es Roy Lee Ferrell y la madre de Will Ferrell es Betty Kay Overman	El padre de Will Ferrell es Roy Lee Ferrell y la madre de Will Ferrell es Betty Kay Overman
El estuvo un actor de la programa “Saturday Night Live”, con muchos actors como Jim Carrey y Keenen Thomson	Él fue un actor del programa “Saturday Night Live”, con muchos actores como Jim Carrey y Keenen Thomson
Mis actuacions favoritas son cuando Will Ferrel se vistio como Little Debbie, la ella en las masas o cuando tiene un perico blanco se llame Professor Feather y no te gusta hablar sobre Professor Feathers	Mis actuaciones favoritas son cuando Will Ferrell se vistió como Little Debbie, la chica en las másas o cuando tiene un perico blanco que se llama Professor Feather y no le gusta hablar sobre Professor Feather
Creo estas escenas son muy comica porque son muy ridiculo	Creo que estas escenas son muy cómicas porque son muy ridículas
Me gusta su cine se llama “Get Hard” con Kevin Hart porque su personaje voy a ir a prision porque problems con dinero	Me gusta su película que se llama “Get Hard” con Kevin Hart porque su personaje va a ir a prisión por problemas de dinero
El es muy timido en el cine y un amigo ayuda su personaje durante el cine porque la personaje de Will Ferrell no quiere ir a prision porque es muy peligrosa	Él es muy tímido en la película y un amigo ayuda a su personaje durante la película porque el personaje de Will Ferrell no quiere ir a prisión porque es muy peligrosa
Me gusta todos los cines de Will Ferrell y vengo con mis hermanos, amigos y mi famila cuando estoy a mi casa.	Me gustan todas las películas de Will Ferrell y las veo con mis hermanos, amigos y mi familia cuando estoy en mi casa.
Una persona muy famosa en los Estados Unidos es Lady Gaga	Una persona muy famosa en los Estados Unidos es Lady Gaga
Ella tiene el pelo muy rubio y los ojos azules	Ella tiene el pelo muy rubio y los ojos azules
También, ella fue un poca loca, pero es mas normal ahora	También, ella estuvo un poco loca, pero está más normal ahora
Elle tuvo su primero canto mas popular en dos mil ocho y la gente de el mundo lo encanto	Ella tuvo su primera canción popular en dos mil ocho y a la gente del mundo le encantó
Lady Gaga lleva ropa muy extraña, incluye en vestido de carne, pero es un parte de su persona	Lady Gaga lleva ropa muy extraña, incluyendo un vestido de carne, pero es una parte de su persona
El nombre real de Lady Gaga es Stephanie Germanotta	El nombre real de Lady Gaga es Stephanie Germanotta
Ella usa Lady Gaga para sus espectáculos solos	Ella usa Lady Gaga sólo para sus espectáculos
El primero album de ella fue La Fama: Monstruo, y incluye cantos mas populares Poker Face, Just Dance, y Love Game	El primer álbum de ella fue La Fama: Monstruo, e incluye canciones muy populares como Poker Face, Just Dance, y Love Game
Su primero album fue muy bueno y vendió muchos veces	Su primer álbum fue muy bueno y vendió muchas copias
Ella no escribió música para algunos años después de su primero album	Ella no escribió música para algunos años después de su primer álbum
Pero, en dos mil trece ella tuve su segundo album se llama Artpop	Pero, en dos mil trece ella grabó su segundo álbum que se llama Artpop
El segundo album de Lady Gaga no vendió mucho porque la gente no le gusto	El segundo álbum de Lady Gaga no se vendió mucho porque a la gente no le gustó
Pero, en mi opinion, su segundo album fue muy bueno y me encante	Pero, en mi opinión, su segundo álbum fue muy bueno y me encanta
Ella fue en la guía de mundo para su segundo album y hecho mucho dinero porque sus fanáticos le encanto todavía	Ella hizo una gira del mundo para su segundo álbum y cobró mucho dinero porque a sus fanáticos todavía les encanta
Después de su segundo album, Lady Gaga no canto para tres años, y cuando ella volvió su música fue mucha diferente	Después de su segundo álbum, Lady Gaga no cantó durante tres años, y cuando ella volvió a su música fue mucha diferente
El tercero album de Lady Gaga se llama Joanne	El tercer álbum de Lady Gaga se llama Joanne
Ella canto de este album para el Super Bowl en dos mil diecisiete	Ella cantó canciones de este álbum para el Super Bowl en dos mil diecisiete
Su espectáculo fue muy bueno! El tercero album de ella vendió muchos y es muy popular todavía.	¡Su espectáculo fue muy bueno! El tercer álbum de ella se vendió mucho y es muy popular todavía.
Mi celebridad favorita se llama Beyonce y me gusta Beyonce porque ella es buena cantante y ballarin	Mi celebridad favorita se llama Beyonce y me gusta Beyonce porque ella es buena cantante y bailarín
Como ella tambien es una actriz y compositora	Ella también es actriz y compositora
Mi cancion favorite por ella, se llama “Upgrade You”	Mi canción favorita de ella se llama “Upgrade You”
Beyonce es estadounidense, ella tiene 35 anos y el cumpleanos de Beyonce es en cuatro de septiembre	Beyonce es estadounidense, ella tiene 35 años y el cumpleaños de Beyonce es el cuatro de septiembre
Ella vivo en Estados Unidos de America pero ella le gusta viajar con su marido se llama Jay Z y su hija se llama Blue Ivy a Paris	Ella vive en Estados Unidos pero a ella le gusta viajar con su marido que se llama Jay Z y su hija que se llama Blue Ivy a Paris
Ya ella embarazada con gemelos! Beyonce tiene pequena hermana se llama Solange, y Solange tambien una cantante	¡Ahora ella está embarazada con gemelos! Beyonce tiene una hermana menor que se llama Solange, y Solange también es cantante
Solange se parece Beyonce, y ella tiene los ojos café tambien y el pelo ricarda y negra	Solange se parece a Beyonce, y ella tiene los ojos café también y el pelo rizado y negro
Solange y muy delgada, ella tiene 30 anos y el cumpleanos de ella es en vienticuatro de junio	Solange es muy delgada, ella tiene 30 años y el cumpleaños de ella es el veinticuatro de junio
Solange es casada a su marrido se llama Alan Ferguson y el nombre du su hijo es Daniel	Solange está casada con su marido quien se llama Alan Ferguson y el nombre de su hijo es Daniel
Creo que ella seria, trabajadora, comica y humilde	Creo que ella es seria, trabajadora, cómica y humilde
Beyonce no es alta y tampoco no es baja, ella tiene los ojos café y el pelo rubio y muy ricarda y ella muy muy bonita	Beyonce no es alta y no es baja tampoco, pero ella tiene los ojos cafés y el pelo rubio y muy rizado y ella es muy bonita
También creo que yo y Beyonce seríamos grandes amigos por que como yo, ella se gusta moda	También creo que Beyonce y yo seríamos grandes amigos porque, a ella le gusta la moda también
El nombre du sus madre de Beyonce y Solange es Tina Knowles, y Tina es diseñadora de modas	El nombre de la madre de Beyonce y Solange es Tina Knowles, y Tina es diseñadora de moda
Su boutique se llama“House of Derion, y Derion es el nombre de abuela de Beyonce y Solange	Su boutique se llama “House of Derion”, y Derion es el nombre de la abuela de Beyonce y Solange
Tina tiene 63 anos y el cumoleanos de ella es en cuatro de enero.	Tina tiene 63 años y el cumpleaños de ella es el cuatro de enero.
Paul McCartney es un musico muy famosa	Paul McCartney es un músico muy famoso
El es muy famoso para The Beatles	Él es muy famoso por The Beatles
Paul McCartney toca el guitarra	Paul McCartney toca la guitarra
El es un pianista tambien	Él es un pianista también
El le gusta viagar el mundo y toca musica	A él le gusta viajar por el mundo y tocar música
Paul McCartney escribe canciones	Paul McCartney escribe canciones
Paul es viejo	Paul es viejo
El tiene setenta y cinco anos	Él tiene setenta y cinco años
Paul McCartney tiene ojos cafe y tiene un pelo cafe	Paul McCartney tiene ojos de color café y tiene pelo de color café
El es de Liverpool, England	Él es de Liverpool, Inglaterra
El tiene cinco hijos y ocho nietos	Él tiene cinco hijos y ocho nietos
Paul le encanta su hijos	A Paul le encantan sus hijos
Paul McCartney no come carne o pollo porque el le encanta animales	Paul McCartney no come carne ni pollo porque a él le encantan los animales
El es comico y simpatico	Él es cómico y simpático
El tiene mucho dinero porque es un musico famoso	Él tiene mucho dinero porque es un músico famoso
El es un musico bueno.	Él es un músico bueno.
Yo conozco Lionel Messi	Yo conozco a Lionel Messi
Messi nació en junio	Messi nació en junio
Él es muy famoso en Barcelona y en Argentina	Él es muy famoso en Barcelona y en Argentina
Messi es un jugador de fútbol muy respetado	Messi es un futbolista muy respetado
Él juega para FC Barcelona y Argentina	Él juega para FC Barcelona y Argentina
Messi tiene el pelo castaño	Messi tiene el pelo castaño
Además, Messi es más bueno que Christiano Ronaldo	Además, Messi es mejor que Cristiano Ronaldo
Messi es conocido en todo el mundo	Messi es conocido en todo el mundo
Él tiene tres niños	Él tiene tres niños
Messi es muy bajo	Messi es muy bajo
Él novia es muy bonita	Su novia es muy bonita
Además, ella es baja	Además, ella es baja
En un año, Messi anotó cuatrocientos goles	En un año, Messi anotó cuatrocientos goles
Lionel Messi viajó a España a la edad de tres años	Lionel Messi viajó a España a la edad de tres años
Messi tenía problemas hormonales porque era muy pequeño	Messi tenía problemas hormonales porque era muy pequeño
Messi tiene cuatrociento millones de dólares en su cuenta bancaria	Messi tiene cuatrocientos millones de dólares en su cuenta bancaria
Muchas personas dudaron Messi y sus habilidades	Muchas personas dudaron a Messi y sus habilidades
Messi ha jugado para el equipo nacional y para un equipo del club	Messi ha jugado para el equipo nacional y para un equipo del club
También, ha ganado varios trofeos	También, ha ganado varios trofeos
Asombrosamente, Messi es considerado el major de todos los tiempos	Asombrosamente, Messi es considerado el mejor de todos los tiempos
Él es muy joven y tiene mucho tiempo	Él es muy joven y le queda mucho tiempo
Quiero ir a visitar Messi	Quiero ir a visitar a Messi
La gente dice que es muy amable y generoso	La gente dice que es muy amable y generoso
Además, que juega con sus fans en el campo del estadio	Además, juega con sus fans en el campo del estadio
Messi es otra cosa	Messi es otra cosa
Messi nunca se rinde	Messi nunca se rinde
Mucha gente sigue Messi por todas el mundo	Mucha gente sigue a Messi por todo el mundo
Él vuela de primera clase y es tratado el mejor	Él vuela de primera clase y se le trata bien
Messi era una vez pobre pero ahora rico	Messi era una vez pobre pero ahora es rico
Trabajó duro y es especial para todos	Trabajó duro y es especial para todos
Él es un modelo para muchos jugadores de fútbol	Él es un modelo para muchos jugadores de fútbol
Un dia voy a ver Messi	Un día voy a ver a Messi
Quiero verlo jugar	Quiero verlo jugar
También, quiero conseguir su autografo porque es considerado tan famoso	También, quiero conseguir su autógrafo porque es tan famoso
Sé que nunca olvidaré una experiencia como esa.	Sé que nunca olvidaré una experiencia como esa.
Lionel Andrés Messi Quiero presentarle Lionel Andrés Messi a usted	Quiero presentarle a Lionel Andrés Messi
Es el bajo hombre en pantalla de televisión	Es el hombre bajo en la pantalla de televisión
Lionel Andrés Messi es un legado de fútbol	Lionel Andrés Messi es una leyenda del fútbol
Es un futbolista de Argentina y de FC Barcelona	Es un futbolista de Argentina y de FC Barcelona
Es capitán de los equipos y lleva el número diez en su ropa de deporte	Es capitán de los equipos y lleva el número diez en su uniforme
Juega fútbol en medio y frente de cancha	Juega fútbol en medio y frente de cancha
Se considera es el más excelente en este puesto	Se considera que es el más excelente en este puesto
Tiene treinta años	Tiene treinta años
Nació el 24 de junio de 1987 en el Rosario	Nació el 24 de junio de 1987 en el Rosario
Tiene dos hermanos, Rodrigo y Matías, y una hermana, María Sol	Tiene dos hermanos, Rodrigo y Matías, y una hermana, María Sol
Su madre se llama Celia María Cuccittini y su padre es Jorge Horácio Messi	Su madre se llama Celia María Cuccittini y su padre es Jorge Horácio Messi
Cuando tienía trece años, Messi participó al FC Barcelona y juega para él hasta ahora	Cuando tenía trece años, Messi participó en el FC Barcelona y ha jugado para ellos hasta ahora
Me gusta mucho Messi	Me gusta mucho Messi
Es talentoso, guapo, trabajador y idealista, pero es un poco bajo	Es talentoso, guapo, trabajador e idealista, pero es un poco bajo
Messi fue diagnosticado de deficiencia de hormona de crecimiento como un niño	Messi fue diagnosticado de deficiencia de hormona de crecimiento como un niño
Gracias a sus esfuerzos y la medicina, lo superó	Gracias a sus esfuerzos y la medicina, lo superó
Es muy rápido y inteligente en el área de fútbol	Es muy rápido e inteligente en el área de fútbol
Es chico bueno y modesto, no solo cuando juega al fútbol, sino también en la vida diaria	Es un chico bueno y modesto, no solo cuando juega al fútbol, sino también en la vida diaria
Messi es el único jugador en la historia en ganar cinco premios Ballon d'Or de la FIFA, cuatro de los cuales ganó consecutivamente y el primero en ganar tres Zapatos de Oro Europeos	Messi es el único jugador en la historia en ganar cinco premios Ballon d'Or de la FIFA, cuatro de los cuales ganó consecutivamente y el primero en ganar tres Zapatos de Oro Europeos
A La semana pasada, metió quinientos gols de su carrera en FC Barcelona	La semana pasada, metió el gol quinientos de su carrera en FC Barcelona
¡Qué grande logro! Este evento indica que Messi juega muy bien y muy constantemente	¡Qué grande logro! Este evento indica que Messi juega muy bien y muy consistentemente
Ojalá pueda estar sano y seguir jugando bien.	Ojalá pueda estar sano y seguir jugando bien.
Hay un artista y se llama Kanye West	Hay un artista y se llama Kanye West
El tiene muchos dinero	Él tiene mucho dinero
El tiene cuarenta y cuartro anos de edad	Él tiene cuarenta y cuatro años de edad
El es de estados unicos y es americano	Él es de Estados Unidos y es americano
El tiene dos ojos grandes	Él tiene dos ojos grandes
El lleva una camiseta blanca y pantalones negro o azul	Él lleva una camiseta blanca y pantalones negros o azules
El lleva zapatos blancos	Él lleva zapatos blancos
Tiene una esposa y llamada Kim Kardashian West	Tiene una esposa y se llama Kim Kardashian West
El tiene una hija y un hijo	Él tiene una hija y un hijo
Sus nombres son North West y Saint West	Sus nombres son North West y Saint West
El escribe musica	Él escribe música
El trabaja con artistas de musica	Él trabaja con artistas de música
Toca el piano y la guitarra	Toca el piano y la guitarra
El es muy serio intimidante	Él es muy serio e íntimo
El es muy famoso y el tiene muchos fans	Él es muy famoso y él tiene muchos fans
Sus fans son viejos y jovenes	Sus fans son viejos y jóvenes
Su genero de musica es rap y hip hop	Su género de música es rap y hip hop
El trabaja con otros artistas	Él trabaja con otros artistas
Por ejemple, trabaja con Chance the Rapper	Por ejemplo, trabaja con Chance the Rapper
El es muy rico	Él es muy rico
El tiene una familia pequena.	Él tiene una familia pequeña.
Gina Rodríguez es una actriz	Gina Rodríguez es actriz
Ella está en la telenovela de Jane The Virgin	Ella sale en la telenovela de Jane The Virgin
Tiene treinta y dos años y es de Chicago, Illinois	Tiene treinta y dos años y es de Chicago, Illinois
Sus padres son de Puerto Rico	Sus padres son de Puerto Rico
Ella es joven, muy bonita y tiene el pelo castaño	Ella es joven, muy bonita y tiene el pelo castaño
Tiene los ojos cafés	Tiene los ojos cafés
Ella es muy talentosa, trabajadora, inteligente, generosa, extrovertida y activa	Ella es muy talentosa, trabajadora, inteligente, generosa, extrovertida y activa
Ella le gustan los artes escénicas, el boxeo y la filantropía	A ella le gustan las artes escénicas, el boxeo y la filantropía
Ella no le gustan la brecha salarial de género y unos calcetines con sandalias	A ella no le gusta la brecha salarial entre géneros y llevar calcetines con sandalias
Ella su cumpleaños es el 30 de julio de 1984	Su cumpleaños es el 30 de julio de 1984
Ella estudié Nueva York Universidad Tisch School of the Arts y se licenció en el año 2006	Ella estudió en la Universidad Tisch School of the Arts en Nueva York y se licenció en el año 2006
Adémas de Jane The Virgin, Gina Rodríguez también actuó en unas películas Filly Brown y Deepwater Horizon	Adémás de Jane The Virgin, Gina Rodríguez también actuó en unas películas que son Filly Brown y Deepwater Horizon
Ella ganó un Golden Globe Award en el año 2015 por su actuación en Jane The Virgin	Ella ganó un Golden Globe Award en el año 2015 por su actuación en Jane The Virgin
La telenovela Jane The Virgin está basada en la telenovela venezolana Juana La Virgen	La telenovela Jane The Virgin está basada en la telenovela venezolana Juana La Virgen
Otros actores en Jane The Virgin son Justin Baldoni, Yael Grobglas, Brett Dier, Andrea Navedo, Jaime Camil y Ivonne Coll	Otros actores en Jane The Virgin son Justin Baldoni, Yael Grobglas, Brett Dier, Andrea Navedo, Jaime Camil e Ivonne Coll
Gina es amigos todos ellos	Gina es amiga de todos ellos
Gina su madre se llama Magali y su padre se llama Genero	La madre de Gina se llama Magali y su padre se llama Genero
Genero es árbitro de boxeo	Genero es árbitro de boxeo
Ella sus hermanas se llaman Ivelisse y Rebecca	Sus hermanas se llaman Ivelisse y Rebecca
Ivelisse es una banquera de inversión	Ivelisse es una banquera de inversión
Rebecca es medicá	Rebecca es médica
Gina no está cansada y tiene cero niños	Gina no está cansada y tiene cero niños
Pero, ella tiene un novio	Pero, ella tiene un novio
Ella su novio se llama Joe LoCicero	Su novio se llama Joe LoCicero
Nosotros nos gusta viajar, caminar, mirar televisión, correr, y hacer ejercicio	A ellos les gusta viajar, caminar, mirar televisión, correr, y hacer ejercicio
Ella le gusta visitar a sus amigos, levantar pesas y entrenarse.	A ella le gusta visitar a sus amigos, levantar pesas y entrenarse.
Mi persona famosa es Martin Luther King Jr., una activista pro derechos civiles	Mi persona famosa es Martin Luther King Jr., un activista de derechos civiles
Él es un afroamericano, nació en Atlanta, Georgia en enero 15th, 1929	Él es afroamericano, y nació en Atlanta, Georgia el quince de enero de 1929
Tu padre se llama Martin Luther King Sr	Su padre se llama Martin Luther King Sr
y to madre se llama Alberta William King	y su madre se llama Alberta William King
King Jr	King Jr
es un hombre de mediana edad, alto y tiene un pelo negro y corto	es un hombre de mediana edad, alto y tiene pelo negro y corto
Él tiene un hermano menor Alfred y una hermana mayor Willie	Él tiene un hermano menor Alfred y una hermana mayor Willie
Le gusta cantar y la música mucho	Le gusta cantar y le gusta la música mucho
Cuando tenía quince años, su padre quiere King Jr	Cuando tenía quince años, su padre quería que King Jr
tener éxito y siempre motivó King	tuviera éxito y siempre motivó a King
Muchas gentes, especialmente los americanos blancos, discriminó King Jr	Muchas gentes, especialmente los americanos blancos, discriminaron a King Jr
y otras afroamericanos porque no había lays que los protegió	y otros afroamericanos porque no había leyes que los protegieran
Por todo su infancia, sintió triste y depresión	Por toda su infancia, sintió la tristeza y la depresión
Los amigos de King paró jugar con su y odiaba discriminación mucho	Los amigos de King dejaron de jugar con él y odiaba la discriminación mucho
Fue a la escuela de Booker T	Fue a la escuela de Booker T
Washington y practicó su habilidad de oratoria	Washington y practicó su habilidad de oratoria
Durante un viaje cuando tenía trece años, un conductor de autobús le mandó King que se sentó en la parte trasera	Durante un viaje cuando tenía trece años, un conductor de autobús le mandó a King que se sentara en la parte de atrás
Cuando tenía dieciocho años, King sintío un deseo de cambiar la sociedad y él entró la Universidad de Morehouse	Cuando tenía dieciocho años, King sintió un deseo de cambiar la sociedad y él se matriculó en la Universidad de Morehouse
En 1948, King se licenció y cuando tenía veinticinco años, é les un pastor de la iglesia de Dexter Avenue Baptist	En 1948, King se licenció y cuando tenía veinticinco años, él es un pastor de la iglesia de Dexter Avenue Baptist
King siguió su educacion después de la universidad	King siguió su educación después de la universidad
En diciembre 1955, después del asunto de Rosa Park, King comenzó el boicot de Montgomery Autobús para derechos civiles de afroamericano	En diciembre 1955, después del asunto de Rosa Park, King comenzó el boicot de Montgomery Autobús para los derechos civiles de afroamericanos
En 1956, hay una ley que da la igualidad de autobús para todas las personas	En 1956, se aprobó una ley que dio la igualdad de autobús para todas las personas
Su más acción famoso es La Marcha Hacia Washington en 1963 para la igualidad de trabajo y liberdad	Su acción más famosa es La Marcha Hacia Washington en 1963 para la igualdad de trabajo y libertad
En frente de las gentes, King les dio su discurso más famoso “I have a dream” y habló de igualidades de gentes	En frente de la gente, King les dio su discurso más famoso “I have a dream” y habló de las igualdades de gentes
En 1968, James Earl Ray mató King en el motel de Lorraine	En 1968, James Earl Ray mató a King en el motel de Lorraine
Muchas gentes de Unidos Estados estuvieron cansados	Muchas gentes de Unidos Estados estuvieron cansados
King es el mayor de activista pro derechos civiles.	King es el mayor de activista pro derechos civiles.
Mi actor favorito es Jackie Chan	Mi actor favorito es Jackie Chan
Jackie Chan es un famoso actor chino	Jackie Chan es un actor chino famoso
Además, Él es un artista marcial, comediante, cantante, acróbata, doble de acción, director y productor cinematográfico chino	Además, Él es un artista marcial, comediante, cantante, acróbata, doble de acción, director y productor cinematográfico chino
Él realiza películas de acción y comedia	Él realiza películas de acción y comedia
El actuó en más de sesenta películas	Él actuó en más de sesenta películas
Las películas “Historia Policiaca” y “Mi Estrella de la Suerte” son más famoso	Las películas “Historia Policiaca” y “Mi Estrella de la Suerte” son las más famosas
Su película más reciente es “Kung Fu Yoga”	Su película más reciente es “Kung Fu Yoga”
La taquilla de sus películas es más de 20 mil millones de yuanes	La taquilla de sus películas es más de 20 mil millones de yuanes
Él gano muchos premios de Hollywood y Asia	Él gano muchos premios de Hollywood y Asia
Por añadidura, Chan ha recibido estrellas en la Avenida de las Estrellas de Hong Kong y el Paseo de la Fama de Hollywood	Además, Chan ha recibido estrellas en la Avenida de las Estrellas de Hong Kong y el Paseo de la Fama de Hollywood
